,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_max_ft,estimated_diameter_min_ft,close_approach_date,miss_distance_miles,relative_velocity_mph
19,54106298,54106298,(2021 BO),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54106298,32.95,False,False,5.0121611974,2.2415066303,2022-01-03,45077546.4917134058,43830.5042359897
20,54160408,54160408,(2021 LG7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54160408,24.09,False,False,296.5002268697,132.598932525,2022-01-03,17645361.6505950038,20785.629457171
21,54214719,54214719,(2021 UW6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54214719,22.31,False,False,673.0154435471,300.9816563357,2022-01-03,26229510.6410870086,24433.6535317287
22,54235431,54235431,(2022 AL),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235431,27.21,False,False,70.4733684217,31.5166484789,2022-01-03,1743588.831664983,9191.0818777409
23,54235463,54235463,(2022 AU),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235463,29.13,False,False,29.1088487834,13.0178729253,2022-01-03,197917.8396764436,16171.0821353539
24,54235467,54235467,(2022 AY),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235467,25.45,False,False,158.4984538377,70.8826634219,2022-01-03,4817141.1658792968,27361.2268063162
25,54235479,54235479,(2022 AL1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235479,26.28,False,False,108.1496280151,48.3659839966,2022-01-03,4067322.7405238954,19755.5021844377
26,54235524,54235524,(2022 AO1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235524,29.6,False,False,23.4436392583,10.4843142043,2022-01-03,215995.0017471666,31502.9587234369
27,54235674,54235674,(2022 AZ2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235674,27.75,False,False,54.9572546853,24.5776314666,2022-01-03,1222026.6135090498,21859.3720836018
28,54243723,54243723,(2022 BX5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54243723,29.02,False,False,30.6213991111,13.6943059957,2022-01-03,1422230.524618032,1454.0671052967
29,3555070,3555070,(2011 AU4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3555070,25.9,False,False,128.8323800441,57.6155918963,2022-01-04,31899046.6017150634,29886.2593911402
30,3595775,3595775,(2012 AB11),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3595775,22.29,False,False,679.2427787741,303.766605313,2022-01-04,22158387.5883464152,39406.2886586987
31,3671126,3671126,(2014 JJ55),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3671126,25.3,False,False,169.8341531374,75.9521422633,2022-01-04,17221720.8911176876,15404.896850176
32,3780740,3780740,(2017 QW1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3780740,26.2,False,False,112.2083122258,50.1810827555,2022-01-04,12746412.8592337064,17928.8421673949
